ticker,yf_symbol,yf_suffix,isin,name,type,domicile,dist_policy,replication,strategy,ter,fund_size_eur,country,sector,currency
SXR8,SXR8.DE,.DE,IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.07,,Ireland,,
EUNL,EUNL.DE,.DE,IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.2,,Ireland,,
VUSA,VUSA.DE,.DE,IE00B3XXRP09,Vanguard S&P 500 UCITS ETF (USD) Distributing,ETF,Ireland,Distributing,Full replication,Long-only,0.07,,Ireland,,
PPFB,PPFB.DE,.DE,IE00B4ND3602,iShares Physical Gold ETC,ETF,Ireland,Accumulating,Physically backed,Long-only,0.12,,Ireland,,
VWCE,VWCE.DE,.DE,IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.19,,Ireland,,
IS3N,IS3N.DE,.DE,IE00BKM4GZ66,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.18,,Ireland,,
P500,P500.DE,.DE,IE00B3YCGJ38,Invesco S&P 500 UCITS ETF Acc,ETF,Ireland,Accumulating,Swap based Unfunded,Long-only,0.05,,Ireland,,
VUAA,VUAA.DE,.DE,IE00BFMXXD54,Vanguard S&P 500 UCITS ETF (USD) Accumulating,ETF,Ireland,Accumulating,Full replication,Long-only,0.07,,Ireland,,
8PSG,8PSG.DE,.DE,IE00B579F325,Invesco Physical Gold ETC,ETF,Ireland,Accumulating,Physically backed,Long-only,0.12,,Ireland,,
IUSQ,IUSQ.DE,.DE,IE00B6R52259,iShares MSCI ACWI UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.2,,Ireland,,
4GLD,4GLD.DE,.DE,DE000A0S9GB0,Xetra-Gold,ETF,Germany,Accumulating,Physically backed,Long-only,0.0,,Germany,,
XEON,XEON.DE,.DE,LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.1,,Luxembourg,,
VGWL,VGWL.DE,.DE,IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF (USD) Distributing,ETF,Ireland,Distributing,Optimized sampling,Long-only,0.19,,Ireland,,
SXRV,SXRV.DE,.DE,IE00B53SZB19,iShares Nasdaq 100 UCITS ETF (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.3,,Ireland,,
LYP6,LYP6.DE,.DE,LU0908500753,Amundi Core Stoxx Europe 600 UCITS ETF Acc,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.07,,Luxembourg,,
IUSZ,IUSZ.DE,.DE,IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist),ETF,Ireland,Distributing,Full replication,Long-only,0.07,,Ireland,,
IUSA,IUSA.DE,.DE,IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist),ETF,Ireland,Distributing,Full replication,Long-only,0.07,,Ireland,,
XDWD,XDWD.DE,.DE,IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
IBC1,IB01.L,→IB01.L,IE00BGSF1X88,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.07,,Ireland,,
SPY5,SPY5.DE,.DE,IE00B6YX5C33,State Street SPDR S&P 500 UCITS ETF USD Unhedged (Dist),ETF,Ireland,Distributing,Full replication,Long-only,0.03,,Ireland,,
SPPW,SPPW.DE,.DE,IE00BFY0GT14,State Street SPDR MSCI World UCITS ETF USD Unhedged,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
EUNK,EUNK.DE,.DE,IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
SGAS,SGAS.DE,.DE,IE00BFNM3G45,iShares MSCI USA Screened UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.07,,Ireland,,
OM3L,OM3L.DE,.DE,IE00BHZPJ890,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),ETF,Ireland,Distributing,Full replication,Long-only,0.07,,Ireland,,
LYP5,LYP5.DE,.DE,LU1135865084,Amundi Core S&P 500 Swap UCITS ETF Acc,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.05,,Luxembourg,,
SPYL,SPYL.DE,.DE,IE000XZSV718,State Street SPDR S&P 500 UCITS ETF USD Unhedged (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.03,,Ireland,,
QDVE,QDVE.DE,.DE,IE00B3WJKG14,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.15,,Ireland,,
H4ZJ,H4ZJ.DE,.DE,IE00B4X9L533,HSBC MSCI World UCITS ETF USD,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.15,,Ireland,,
MWRE,MWRE.DE,.DE,IE000BI8OT95,Amundi Core MSCI World UCITS ETF Acc,ETF,Ireland,Accumulating,Full replication,Long-only,0.12,,Ireland,,
GLDA,GLDA.DE,.DE,FR0013416716,Amundi Physical Gold ETC (C),ETF,Ireland,Accumulating,Physically backed,Long-only,0.12,,Ireland,,
IQQY,IQQY.DE,.DE,IE00B1YZSC51,iShares Core MSCI Europe UCITS ETF EUR (Dist),ETF,Ireland,Distributing,Optimized sampling,Long-only,0.12,,Ireland,,
EXW1,EXW1.DE,.DE,DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),ETF,Germany,Accumulating,Full replication,Long-only,0.09,,Germany,,
I500,I500.DE,.DE,IE00BMTX1Y45,iShares S&P 500 Swap UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Swap based Unfunded,Long-only,0.05,,Ireland,,
XD9U,XD9U.DE,.DE,IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.03,,Ireland,,
XMME,XMME.DE,.DE,IE00BTJRMP35,Xtrackers MSCI Emerging Markets UCITS ETF 1C,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.18,,Ireland,,
XDEW,XDEW.DE,.DE,IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.15,,Ireland,,
JREU,JREU.DE,.DE,IE00BF4G7076,JPMorgan US Research Enhanced Index Equity Active UCITS ETF USD (acc),ETF,Ireland,Accumulating,Full replication,"Long-only, Active",0.2,,Ireland,,
EXSA,EXSA.DE,.DE,DE0002635307,iShares STOXX Europe 600 UCITS ETF (DE),ETF,Germany,Accumulating,Full replication,Long-only,0.2,,Germany,,
EUN5,EUN5.DE,.DE,IE00B3F81R35,iShares Core EUR Corporate Bond UCITS ETF (Dist),ETF,Ireland,Distributing,Sampling,Long-only,0.09,,Ireland,,
EQQQ,EQQQ.DE,.DE,IE0032077012,Invesco EQQQ Nasdaq-100 UCITS ETF,ETF,Ireland,Accumulating,Full replication,Long-only,0.3,,Ireland,,
SPYY,SPYY.DE,.DE,IE00B44Z5B48,State Street SPDR MSCI All Country World UCITS ETF USD Unhedged (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
D500,D500.DE,.DE,IE00BYML9W36,Invesco S&P 500 UCITS ETF Dist,ETF,Ireland,Distributing,Swap based Unfunded,Long-only,0.05,,Ireland,,
EXS1,EXS1.DE,.DE,DE0005933931,iShares Core DAX® UCITS ETF (DE) EUR (Acc),ETF,Germany,Accumulating,Full replication,Long-only,0.16,,Germany,,
VGWD,VGWD.DE,.DE,IE00B8GKDB10,Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing,ETF,Ireland,Distributing,Optimized sampling,Long-only,0.29,,Ireland,,
IBCF,IBCF.DE,.DE,IE00B3ZW0K18,iShares S&P 500 EUR Hedged UCITS ETF (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.2,,Ireland,,
LYYA,LYYA.DE,.DE,FR0010315770,Amundi MSCI World Swap II UCITS ETF Dist,ETF,France,Distributing,Swap based Unfunded,Long-only,0.3,,France,,
DFEN,DFEN.DE,.DE,IE000YYE6WK5,VanEck Defense UCITS ETF A,ETF,Ireland,Accumulating,Full replication,Long-only,0.55,,Ireland,,
IQQE,IQQE.DE,.DE,IE00B0M63177,iShares MSCI EM UCITS ETF (Dist),ETF,Ireland,Distributing,Full replication,Long-only,0.18,,Ireland,,
VDIV,VDIV.DE,.DE,NL0011683594,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,ETF,Netherlands,Accumulating,Full replication,Long-only,0.38,,Netherlands,,
EDM2,EDM2.DE,.DE,IE00BHZPJ239,iShares MSCI EM ESG Enhanced CTB UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.18,,Ireland,,
IQQW,IQQW.DE,.DE,IE00B0M62Q58,iShares MSCI World UCITS ETF (Dist),ETF,Ireland,Distributing,Optimized sampling,Long-only,0.5,,Ireland,,
H4ZF,H4ZF.DE,.DE,IE00B5KQNG97,HSBC S&P 500 UCITS ETF USD,ETF,Ireland,Accumulating,Full replication,Long-only,0.09,,Ireland,,
UETW,UETW.DE,.DE,IE00BD4TXV59,UBS Core MSCI World UCITS ETF USD acc,ETF,Ireland,Accumulating,Full replication,Long-only,0.06,,Ireland,,
XZMU,XZMU.DE,.DE,IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.15,,Ireland,,
EDMU,EDMU.DE,.DE,IE00BHZPJ908,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.07,,Ireland,,
XMEU,XMEU.DE,.DE,LU0274209237,Xtrackers MSCI Europe UCITS ETF 1C,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.12,,Luxembourg,,
VZLD,,,JE00B1VS3770,WisdomTree Physical Gold,ETF,Jersey,Accumulating,Physically backed,Long-only,0.39,,Jersey,,
SXRL,SXRL.DE,.DE,IE00B3VWN393,iShares USD Treasury Bond 3-7yr UCITS ETF (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.07,,Ireland,,
SXRT,SXRT.DE,.DE,IE00B53L3W79,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.1,,Ireland,,
EUNM,EUNM.DE,.DE,IE00B4L5YC18,iShares MSCI EM UCITS ETF (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.18,,Ireland,,
DBXD,DBXD.DE,.DE,LU0274211480,Xtrackers DAX UCITS ETF 1C,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.09,,Luxembourg,,
IUSN,IUSN.DE,.DE,IE00BF4RFH31,iShares MSCI World Small Cap UCITS ETF,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.35,,Ireland,,
SC0H,SC0H.DE,.DE,IE00B60SX170,Invesco MSCI USA UCITS ETF,ETF,Ireland,Accumulating,Swap based Unfunded,Long-only,0.05,,Ireland,,
XGDU,XGDU.DE,.DE,DE000A2T0VU5,Xtrackers IE Physical Gold ETC Securities,ETF,Ireland,Accumulating,Physically backed,Long-only,0.11,,Ireland,,
IS0F,IBTA.L,→IBTA.L,IE00BYXPSP02,iShares USD Treasury Bond 1-3yr UCITS ETF (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.07,,Ireland,,
2B7K,2B7K.DE,.DE,IE00BYX2JD69,iShares MSCI World SRI UCITS ETF EUR (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.2,,Ireland,,
XESC,XESC.DE,.DE,LU0380865021,Xtrackers EURO STOXX 50 UCITS ETF 1C,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.09,,Luxembourg,,
EUNN,EUNN.DE,.DE,IE00B4L5YX21,iShares Core MSCI Japan IMI UCITS ETF,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
SXR7,SXR7.DE,.DE,IE00B53QG562,iShares Core MSCI EMU UCITS ETF EUR (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.12,,Ireland,,
SC0J,SC0J.DE,.DE,IE00B60SX394,Invesco MSCI World UCITS ETF Acc,ETF,Ireland,Accumulating,Swap based Unfunded,Long-only,0.05,,Ireland,,
AHYQ,AHYQ.DE,.DE,LU2572257124,Amundi Core MSCI World Swap UCITS ETF Dist,ETF,Luxembourg,Distributing,Swap based Unfunded,Long-only,0.2,,Luxembourg,,
LYOR,LYOR.DE,.DE,LU1190417599,Amundi Smart Overnight Return UCITS ETF Acc,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.1,,Luxembourg,,
AMEW,AMEW.DE,.DE,LU1681043599,Amundi MSCI World Swap UCITS ETF EUR Acc,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.38,,Luxembourg,,
CEBL,CEBL.DE,.DE,IE00B5L8K969,iShares MSCI EM Asia UCITS ETF (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.2,,Ireland,,
EMMUSC,EMMUSC.MI,.MI,LU0950674175,UBS Core MSCI EM UCITS ETF USD acc,ETF,Luxembourg,Accumulating,Optimized sampling,Long-only,0.15,,Luxembourg,,
XAIX,XAIX.DE,.DE,IE00BGV5VN51,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.35,,Ireland,,
XESX,XESX.DE,.DE,LU0274211217,Xtrackers EURO STOXX 50 UCITS ETF 1D,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.09,,Luxembourg,,
IS09,SDIA.L,→SDIA.L,IE00BYXYYP94,iShares USD Short Duration Corporate Bond UCITS ETF (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.2,,Ireland,,
EUN2,EUN2.DE,.DE,IE0008471009,iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),ETF,Ireland,Distributing,Full replication,Long-only,0.1,,Ireland,,
EUNH,EUNH.DE,.DE,IE00B4WXJJ64,iShares Core Euro Government Bond UCITS ETF (Dist),ETF,Ireland,Distributing,Sampling,Long-only,0.07,,Ireland,,
VGVF,VGVF.DE,.DE,IE00BK5BQV03,Vanguard FTSE Developed World UCITS ETF Acc,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
JREG,JREG.DE,.DE,IE00BF4G6Y48,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),ETF,Ireland,Accumulating,Full replication,"Long-only, Active",0.25,,Ireland,,
AYEM,AYEM.DE,.DE,IE00BFNM3P36,iShares MSCI EM IMI Screened UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.18,,Ireland,,
SPP5,SPP5.DE,.DE,IE0002H3JQ66,State Street SPDR Bloomberg 1-5 Year U.S. Corporate Bond UCITS ETF USD Unhedged (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.08,,Ireland,,
VUKE,VUKE.DE,.DE,IE00B810Q511,Vanguard FTSE 100 UCITS ETF (GBP) Distributing,ETF,Ireland,Distributing,Full replication,Long-only,0.09,,Ireland,,
IS3S,IS3S.DE,.DE,IE00BP3QZB59,iShares Edge MSCI World Value Factor UCITS ETF,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.25,,Ireland,,
EBBU,EBBU.PA,.PA,LU3046359165,Amundi EUR Corporate Bond 1-5Y ESG UCITS ETF USD Hedged Acc,ETF,Luxembourg,Accumulating,Sampling,Long-only,0.22,,Luxembourg,,
EXUS,EXUS.DE,.DE,IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.15,,Ireland,,
SLMC,SLMC.DE,.DE,IE00BFNM3D14,iShares MSCI Europe Screened UCITS ETF EUR (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
XZW0,XZW0.DE,.DE,IE00BZ02LR44,Xtrackers MSCI World ESG UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.2,,Ireland,,
EUNW,EUNW.DE,.DE,IE00B66F4759,iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),ETF,Ireland,Distributing,Sampling,Long-only,0.5,,Ireland,,
EUDF,EUDF.DE,.DE,IE0002Y8CX98,WisdomTree Europe Defence UCITS ETF EUR Unhedged Acc,ETF,Ireland,Accumulating,Full replication,Long-only,0.4,,Ireland,,
A4H8,A4H8.DE,.DE,LU1437018168,Amundi Index Euro Corporate SRI UCITS ETF DR (C),ETF,Luxembourg,Accumulating,Sampling,Long-only,0.14,,Luxembourg,,
DBXW,DBXW.DE,.DE,LU0274208692,Xtrackers MSCI World Swap UCITS ETF 1C,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.45,,Luxembourg,,
IUSP,IUSP.DE,.DE,IE00B5M4WH52,iShares J.P. Morgan EM Local Government Bond UCITS ETF,ETF,Ireland,Accumulating,Sampling,Long-only,0.5,,Ireland,,
LCUJ,LCUJ.DE,.DE,LU1781541252,Amundi Core MSCI Japan UCITS ETF Acc,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.12,,Luxembourg,,
GZUR,SGBX.L,→SGBX.L,JE00B588CD74,WisdomTree Physical Swiss Gold,ETF,Jersey,Accumulating,Physically backed,Long-only,0.15,,Jersey,,
IBCH,IBCH.DE,.DE,IE00B441G979,iShares MSCI World EUR Hedged UCITS ETF (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.55,,Ireland,,
LYBK,LYBK.DE,.DE,LU1829219390,Amundi Euro Stoxx Banks UCITS ETF Acc,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.3,,Luxembourg,,
SPY4,SPY4.DE,.DE,IE00B4YBJ215,State Street SPDR S&P 400 U.S. Mid Cap UCITS ETF USD Unhedged (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.3,,Ireland,,
ELFW,ELFW.DE,.DE,DE000ETFL508,Deka MSCI World UCITS ETF Distribution,ETF,Germany,Distributing,Full replication,Long-only,0.3,,Germany,,
SPYI,SPYI.DE,.DE,IE00B3YLTY66,State Street SPDR MSCI All Country World Investable Market UCITS ETF USD Unhedged (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.17,,Ireland,,
SNAW,SNAW.DE,.DE,IE00BFNM3J75,iShares MSCI World Screened UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.2,,Ireland,,
XMAW,XMAW.DE,.DE,IE00BGHQ0G80,Xtrackers MSCI AC World Screened UCITS ETF 1C,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.25,,Ireland,,
4BRZ,4BRZ.DE,.DE,DE000A0Q4R85,iShares MSCI Brazil UCITS ETF (DE) USD (Acc),ETF,Germany,Accumulating,Full replication,Long-only,0.31,,Germany,,
OM3F,OM3F.DE,.DE,IE00BYZTVT56,iShares EUR Corporate Bond ESG SRI UCITS ETF (Dist),ETF,Ireland,Distributing,Sampling,Long-only,0.14,,Ireland,,
EMNU,EMNU.DE,.DE,IE00BHZPJ676,iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Dist),ETF,Ireland,Distributing,Optimized sampling,Long-only,0.12,,Ireland,,
EXXT,EXXT.DE,.DE,DE000A0F5UF5,iShares Nasdaq 100 UCITS ETF (DE),ETF,Germany,Accumulating,Full replication,Long-only,0.3,,Germany,,
XSXD,XSXD.DE,.DE,LU2009147757,Xtrackers S&P 500 Swap UCITS ETF 1D,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.07,,Luxembourg,,
SPPY,SPPY.DE,.DE,IE00BH4GPZ28,State Street SPDR S&P 500 Leaders UCITS ETF USD Unhedged (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.03,,Ireland,,
VGEU,VGEU.DE,.DE,IE00B945VV12,Vanguard FTSE Developed Europe UCITS ETF Distributing,ETF,Ireland,Distributing,Full replication,Long-only,0.1,,Ireland,,
ISPA,ISPA.DE,.DE,DE000A0F5UH1,iShares STOXX Global Select Dividend 100 UCITS ETF (DE),ETF,Germany,Accumulating,Full replication,Long-only,0.46,,Germany,,
EWG2,EWG2.SG,→EWG2.SG,DE000EWG2LD7,EUWAX Gold II,ETF,Germany,Accumulating,Physically backed,Long-only,0.0,,Germany,,
LYSX,LYSX.DE,.DE,FR0007054358,Amundi EURO STOXX 50 II UCITS ETF Acc,ETF,France,Accumulating,Full replication,Long-only,0.2,,France,,
DBXJ,DBXJ.DE,.DE,LU0274209740,Xtrackers MSCI Japan UCITS ETF 1C,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.12,,Luxembourg,,
D5BG,D5BG.DE,.DE,LU0478205379,Xtrackers II EUR Corporate Bond UCITS ETF 1C,ETF,Luxembourg,Accumulating,Optimized sampling,Long-only,0.09,,Luxembourg,,
LYMS,LYMS.DE,.DE,LU1829221024,Amundi Core Nasdaq-100 Swap UCITS ETF Acc,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.22,,Luxembourg,,
ZPRR,ZPRR.DE,.DE,IE00BJ38QD84,State Street SPDR Russell 2000 U.S. Small Cap UCITS ETF USD,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.3,,Ireland,,
XDWL,XDWL.DE,.DE,IE00BK1PV551,Xtrackers MSCI World UCITS ETF 1D,ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.12,,Ireland,,
SXRM,SXRM.DE,.DE,IE00B3VWN518,iShares USD Treasury Bond 7-10yr UCITS ETF (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.07,,Ireland,,
QDV5,QDV5.DE,.DE,IE00BZCQB185,iShares MSCI India UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.65,,Ireland,,
O4J0,O4J0.DE,.DE,IE000MLMNYS0,iShares S&P 500 Equal Weight UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.15,,Ireland,,
AE5A,AE5A.DE,.DE,LU2573966905,Amundi Core MSCI Emerging Markets Swap UCITS ETF Dist,ETF,Luxembourg,Distributing,Swap based Unfunded,Long-only,0.14,,Luxembourg,,
XDWT,XDWT.DE,.DE,IE00BM67HT60,Xtrackers MSCI World Information Technology UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.25,,Ireland,,
CMOD,CMOD.L,.L,IE00BD6FTQ80,Invesco Bloomberg Commodity UCITS ETF Acc,ETF,Ireland,Accumulating,Swap based Unfunded,Long-only,0.19,,Ireland,,
VVSM,VVSM.DE,.DE,IE00BMC38736,VanEck Semiconductor UCITS ETF,ETF,Ireland,Accumulating,Full replication,Long-only,0.35,,Ireland,,
84X0,84X0.DE,.DE,IE00BMG6Z448,iShares MSCI EM ex-China UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Full replication,Long-only,0.18,,Ireland,,
CEU2,CEU2.DE,.DE,LU1437015735,Amundi Core MSCI Europe UCITS ETF Acc,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.12,,Luxembourg,,
GG9B,OGG9.L,→OGG9.L,GB00B00FHZ82,Gold Bullion Securities,ETF,Jersey,Accumulating,Physically backed,Long-only,0.4,,Jersey,,
LEMA,LEMA.DE,.DE,LU2573967036,Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.14,,Luxembourg,,
IS3Q,IS3Q.DE,.DE,IE00BP3QZ601,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.25,,Ireland,,
IS03,IUAA.L,→IUAA.L,IE00BYXYYM63,iShares US Aggregate Bond UCITS ETF (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.25,,Ireland,,
IS0E,IS0E.DE,.DE,IE00B6R52036,iShares Gold Producers UCITS ETF,ETF,Ireland,Accumulating,Full replication,Long-only,0.55,,Ireland,,
XMUS,XMUS.DE,.DE,LU0274210672,Xtrackers MSCI USA Swap UCITS ETF 1C,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.15,,Luxembourg,,
EUNT,EUNT.DE,.DE,IE00B4L60045,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Dist),ETF,Ireland,Distributing,Sampling,Long-only,0.2,,Ireland,,
EMUAA,EMUAA.MI,.MI,LU0950668870,UBS Core MSCI EMU UCITS ETF EUR acc,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.12,,Luxembourg,,
IS01,LQDA.L,→LQDA.L,IE00BYXYYJ35,iShares USD Corporate Bond UCITS ETF (Acc),ETF,Ireland,Accumulating,Sampling,Long-only,0.2,,Ireland,,
D5BM,D5BM.DE,.DE,LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.15,,Luxembourg,,
IS3M,IS3M.DE,.DE,IE00BCRY6557,iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),ETF,Ireland,Distributing,Sampling,Long-only,0.09,,Ireland,,
EDMW,EDMW.DE,.DE,IE00BHZPJ569,iShares MSCI World ESG Enhanced CTB UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Optimized sampling,Long-only,0.2,,Ireland,,
XDEV,XDEV.DE,.DE,IE00BL25JM42,Xtrackers MSCI World Value UCITS ETF 1C,ETF,Ireland,Accumulating,Full replication,Long-only,0.25,,Ireland,,
EMXC,EMXC.DE,.DE,LU2009202107,Amundi MSCI Emerging Ex China UCITS ETF Acc,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.15,,Luxembourg,,
N810,MUSD.AS,→MUSD.AS,IE0002W8NB38,iShares MSCI USA Swap UCITS ETF USD (Acc),ETF,Ireland,Accumulating,Swap based Unfunded,Long-only,0.05,,Ireland,,
UIMM,UIMM.DE,.DE,LU0629459743,UBS MSCI World Socially Responsible UCITS ETF USD dis,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.22,,Luxembourg,,
F500,F500.DE,.DE,IE000KXCEXR3,Amundi S&P 500 Screened UCITS ETF Acc,ETF,Ireland,Accumulating,Full replication,Long-only,0.12,,Ireland,,
XWD1,XWD1.DE,.DE,LU2263803533,Xtrackers MSCI World Swap UCITS ETF 1D,ETF,Luxembourg,Accumulating,Swap based Unfunded,Long-only,0.19,,Luxembourg,,
2B7M,IGLT.L,→IGLT.L,IE00B1FZSB30,iShares Core UK Gilts UCITS ETF,ETF,Ireland,Accumulating,Sampling,Long-only,0.07,,Ireland,,
JPNA,JPNA.L,.L,LU0950671825,UBS Core MSCI Japan UCITS ETF JPY acc,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.12,,Luxembourg,,
6TVM,6TVM.DE,.DE,LU0496786657,Amundi Core S&P 500 Swap UCITS ETF USD Dist,ETF,Luxembourg,Distributing,Swap based Unfunded,Long-only,0.05,,Luxembourg,,
XSX6,XSX6.DE,.DE,LU0328475792,Xtrackers STOXX Europe 600 UCITS ETF 1C,ETF,Luxembourg,Accumulating,Full replication,Long-only,0.2,,Luxembourg,,
WEBG,WEBG.DE,.DE,IE0009HF1MK9,Amundi Prime All Country World UCITS ETF Dist,ETF,Ireland,Distributing,Full replication,Long-only,0.07,,Ireland,,
